kod,nazev,voliciVSeznamu,vydaneObalky,platneHlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
589250,Prostějov,578,395,393,45,0,1,31,1,9,22,7,0,3,1,0,32,0,13,157,0,0,24,0,0,0,1,44,2
589250,Prostějov,1084,749,746,56,0,1,57,0,17,46,6,4,12,1,0,57,0,25,274,0,2,46,2,1,0,1,136,2
589250,Prostějov,939,685,679,106,0,0,65,1,20,48,6,0,5,1,0,76,0,34,151,1,2,53,0,2,0,4,104,0
589250,Prostějov,938,655,654,88,0,1,55,0,18,56,9,5,10,0,0,70,0,19,198,0,0,35,2,4,0,4,78,2
589250,Prostějov,412,263,259,22,0,0,41,1,9,36,2,1,1,0,0,12,0,9,60,0,0,22,0,1,0,2,34,6
589918,Prostějovičky,242,138,137,13,0,0,12,0,5,20,6,2,1,0,0,12,0,1,38,0,1,15,0,0,0,0,11,0
589926,Protivanov,805,549,547,45,0,0,59,1,15,52,2,4,5,1,0,31,0,5,144,0,1,101,0,10,1,2,68,0
589934,Přemyslovice,915,545,542,31,0,1,47,2,8,65,7,6,3,0,0,23,0,9,180,1,0,63,0,1,0,1,93,1
589934,Přemyslovice,114,76,75,5,0,0,7,0,1,9,2,0,3,0,0,1,0,2,22,0,0,14,0,0,1,0,8,0
589942,Ptení,692,406,402,16,0,0,38,0,12,42,5,4,1,0,0,22,3,8,105,1,0,96,0,6,1,5,37,0
589942,Ptení,188,118,118,10,0,0,13,0,5,7,1,0,1,0,0,16,0,0,30,0,1,18,0,0,0,0,16,0
589951,Raková u Konice,163,104,101,5,0,0,0,0,5,16,1,0,0,0,0,10,0,1,30,0,0,19,0,0,0,2,11,1
589969,Rakůvka,80,61,61,1,0,0,11,0,0,8,0,1,0,0,0,4,0,2,17,0,0,2,0,0,0,0,13,2
589977,Rozstání,422,239,235,21,0,1,13,0,6,22,6,6,2,0,0,13,0,5,67,0,1,35,0,0,0,0,37,0
589977,Rozstání,81,55,55,3,0,0,3,0,0,6,0,1,3,0,0,6,0,0,27,0,0,0,0,0,0,0,6,0
506770,Seloutky,410,288,287,34,0,0,19,0,6,33,3,2,3,0,0,29,0,9,87,0,0,30,0,0,0,0,32,0
589993,Skalka,212,131,131,7,0,0,7,0,7,20,1,1,1,0,0,14,0,4,31,0,0,17,0,1,0,0,20,0
590002,Skřípov,274,145,144,4,0,0,11,0,1,43,2,2,1,0,0,12,0,1,36,0,0,12,0,0,0,0,19,0
590011,Slatinky,453,314,313,32,0,0,15,1,16,30,7,0,2,0,0,44,0,23,87,0,0,27,0,0,0,0,29,0
590029,Smržice,1 319,797,786,92,0,0,62,0,20,45,4,7,2,0,2,66,0,32,263,0,1,68,1,6,4,3,107,1
590045,Srbce,73,39,39,2,0,0,1,0,6,11,0,0,3,0,0,0,0,1,7,0,0,0,0,0,0,0,8,0
590053,Stařechovice,315,189,188,16,0,0,21,0,11,21,0,1,3,0,0,7,0,3,57,0,1,11,0,0,1,1,34,0
590053,Stařechovice,132,90,90,7,1,0,5,0,6,9,1,0,3,0,0,4,0,6,25,0,2,2,0,1,0,0,18,0
590061,Stínava,126,74,73,3,0,0,7,0,1,7,0,0,0,0,0,5,1,3,11,0,0,22,0,0,0,0,13,0
590070,Stražisko,345,222,220,3,1,0,20,0,4,25,1,1,2,0,0,14,0,2,83,0,0,30,0,0,0,0,34,0
590088,Suchdol,277,200,197,12,0,0,28,2,10,10,2,0,3,0,0,18,0,1,37,0,0,56,1,1,3,1,12,0
590088,Suchdol,168,118,117,2,0,0,11,0,2,11,1,1,0,0,0,11,1,2,26,0,0,34,0,0,0,0,15,0
590088,Suchdol,54,42,42,4,0,0,2,0,0,4,0,0,0,0,0,2,0,1,8,0,0,10,0,0,0,0,11,0
590096,Šubířov,204,110,109,6,0,0,9,0,6,14,2,1,1,0,1,12,0,2,37,0,0,7,0,0,0,0,11,0
590100,Tištín,393,215,215,6,1,0,32,0,17,15,5,0,4,2,0,6,0,3,63,0,0,14,0,1,0,1,43,2
590118,Tvorovice,252,152,152,9,0,0,9,0,14,22,1,1,0,0,0,8,0,1,38,0,0,18,0,1,0,3,24,3
590126,Určice,536,314,314,32,0,1,20,0,15,42,9,2,7,0,0,21,0,4,86,1,0,18,0,5,0,4,45,2
590126,Určice,565,299,297,36,0,4,15,1,14,27,9,3,4,0,1,17,0,8,72,0,0,17,0,1,0,0,65,3
590134,Víceměřice,354,204,204,11,0,0,33,0,3,19,1,2,1,0,0,18,1,5,56,0,0,13,0,3,0,4,33,1
590142,Vícov,404,254,250,17,0,0,11,1,5,24,4,4,3,1,0,20,0,6,69,0,0,40,0,0,0,3,41,1
544710,Vincencov,109,80,80,3,0,0,5,0,5,5,1,0,1,0,0,9,0,3,15,0,1,17,0,0,0,0,15,0
590151,Vitčice,146,84,84,6,1,1,5,0,3,5,0,2,0,0,0,6,0,0,33,0,1,6,0,0,0,0,15,0
590177,Vranovice-Kelčice,236,165,165,14,0,0,11,0,6,9,0,0,4,0,0,5,0,2,62,0,0,28,0,0,0,0,24,0
590177,Vranovice-Kelčice,256,156,153,9,1,0,6,0,1,13,1,0,1,0,0,9,1,4,73,0,0,15,0,0,0,0,19,0
590185,Vrbátky,701,455,454,37,1,1,32,0,23,41,2,1,5,2,0,38,0,6,155,0,0,42,0,2,1,4,58,3
590185,Vrbátky,365,247,244,22,0,0,21,0,7,26,2,1,5,0,0,19,0,7,76,0,1,25,0,0,0,1,29,2
590185,Vrbátky,240,161,159,9,0,0,7,1,1,18,3,4,1,2,1,11,0,1,56,0,0,12,0,0,0,0,32,0
590193,Vrchoslavice,478,282,275,17,0,0,20,0,16,31,3,1,3,1,0,18,0,4,87,2,2,15,0,4,1,1,49,0
590207,Vřesovice,419,281,280,15,0,0,16,0,8,41,3,0,1,0,0,14,0,8,61,0,2,69,0,0,1,1,40,0
590215,Výšovice,399,266,263,28,0,2,25,0,2,25,3,1,3,1,1,21,1,16,69,0,0,21,0,1,1,1,41,0
590223,Zdětín,282,196,194,6,0,0,21,0,13,16,1,0,0,1,0,21,0,2,53,0,1,18,0,0,0,2,38,1
590240,Želeč,436,278,278,21,0,0,15,0,17,49,3,7,2,2,0,17,0,2,67,0,0,28,0,0,0,1,47,0
